Name,Timestamp
std1,2025-05-14 16:39:14
std40,2025-05-14 16:39:16
std101,2025-05-14 16:39:16
std100,2025-05-14 16:39:18
std98,2025-05-14 16:39:20
std42,2025-05-14 16:39:20
std97,2025-05-14 16:39:22
std89,2025-05-14 16:39:22
std95,2025-05-14 16:39:23
std88,2025-05-14 16:39:23
std96,2025-05-14 16:39:23
std94,2025-05-14 16:39:25
std93,2025-05-14 16:39:27
std85,2025-05-14 16:39:27
std92,2025-05-14 16:39:27
std91,2025-05-14 16:39:30
std90,2025-05-14 16:39:30
std87,2025-05-14 16:39:36
std25,2025-05-14 16:39:36
std86,2025-05-14 16:39:36
std84,2025-05-14 16:39:40
std83,2025-05-14 16:39:40
std41,2025-05-14 16:39:40
std80,2025-05-14 16:39:42
std81,2025-05-14 16:39:42
std73,2025-05-14 16:39:42
std79,2025-05-14 16:39:44
std77,2025-05-14 16:39:45
std71,2025-05-14 16:39:45
std70,2025-05-14 16:39:47
std67,2025-05-14 16:39:47
std76,2025-05-14 16:39:48
std75,2025-05-14 16:39:48
std69,2025-05-14 16:39:48
std74,2025-05-14 16:39:49
std72,2025-05-14 16:39:52
std19,2025-05-14 16:39:53
std28,2025-05-14 16:39:55
std68,2025-05-14 16:39:57
std66,2025-05-14 16:39:59
std63,2025-05-14 16:40:02
std44,2025-05-14 16:40:03
std61,2025-05-14 16:40:06
std62,2025-05-14 16:40:06
std55,2025-05-14 16:40:06
std57,2025-05-14 16:40:06
std22,2025-05-14 16:40:06
std36,2025-05-14 16:40:07
std60,2025-05-14 16:40:10
std58,2025-05-14 16:40:10
std59,2025-05-14 16:40:12
std54,2025-05-14 16:40:21
std52,2025-05-14 16:40:23
std53,2025-05-14 16:40:25
std50,2025-05-14 16:40:27
std49,2025-05-14 16:40:27
std48,2025-05-14 16:40:29
std47,2025-05-14 16:40:32
std21,2025-05-14 16:40:32
std46,2025-05-14 16:40:33
std45,2025-05-14 16:40:34
std43,2025-05-14 16:40:36
test3,2025-05-14 16:40:41
std39,2025-05-14 16:40:45
std37,2025-05-14 16:40:45
std35,2025-05-14 16:40:46
std34,2025-05-14 16:40:46
std38,2025-05-14 16:40:49
std32,2025-05-14 16:40:54
std31,2025-05-14 16:40:55
std27,2025-05-14 16:40:57
std29,2025-05-14 16:40:57
std30,2025-05-14 16:40:57
std26,2025-05-14 16:40:59
std23,2025-05-14 16:41:02
std24,2025-05-14 16:41:04
std4,2025-05-14 16:41:07
std16,2025-05-14 16:41:10
std20,2025-05-14 16:41:10
std18,2025-05-14 16:41:10
std14,2025-05-14 16:41:13
std15,2025-05-14 16:41:17
std13,2025-05-14 16:41:17
std12,2025-05-14 16:41:17
std9,2025-05-14 16:41:17
std11,2025-05-14 16:41:21
std10,2025-05-14 16:41:21
std7,2025-05-14 16:41:23
std5,2025-05-14 16:41:23
std6,2025-05-14 16:41:23
std3,2025-05-14 16:41:28
std2,2025-05-14 16:41:29
